Compound::DB00014	Goserelin	Compound
Compound::DB00035	Desmopressin	Compound
Compound::DB00050	Cetrorelix	Compound
Compound::DB00091	Cyclosporine	Compound
Compound::DB00093	Felypressin	Compound
Compound::DB00104	Octreotide	Compound
Compound::DB00115	Cyanocobalamin	Compound
Compound::DB00116	Tetrahydrofolic acid	Compound
Compound::DB00117	L-Histidine	Compound
Compound::DB00118	S-Adenosylmethionine	Compound
Compound::DB00119	Pyruvic acid	Compound
Compound::DB00120	L-Phenylalanine	Compound
Compound::DB00121	Biotin	Compound
Compound::DB00122	Choline	Compound
Compound::DB00123	L-Lysine	Compound
Compound::DB00125	L-Arginine	Compound
Compound::DB00126	Vitamin C	Compound
Compound::DB00127	Spermine	Compound
Compound::DB00128	L-Aspartic Acid	Compound
Compound::DB00129	L-Ornithine	Compound
Compound::DB00130	L-Glutamine	Compound
Compound::DB00131	Adenosine monophosphate	Compound
Compound::DB00132	Alpha-Linolenic Acid	Compound
Compound::DB00133	L-Serine	Compound
Compound::DB00134	L-Methionine	Compound
Compound::DB00135	L-Tyrosine	Compound
Compound::DB00136	Calcitriol	Compound
Compound::DB00137	Xanthophyll	Compound
Compound::DB00138	L-Cystine	Compound
Compound::DB00139	Succinic acid	Compound
Compound::DB00140	Riboflavin	Compound
Compound::DB00141	N-Acetyl-D-glucosamine	Compound
Compound::DB00143	Glutathione	Compound
Compound::DB00144	Phosphatidylserine	Compound
Compound::DB00145	Glycine	Compound
Compound::DB00146	Calcidiol	Compound
Compound::DB00147	Pyridoxal	Compound
Compound::DB00148	Creatine	Compound
Compound::DB00149	L-Leucine	Compound
Compound::DB00150	L-Tryptophan	Compound
Compound::DB00151	L-Cysteine	Compound
Compound::DB00152	Thiamine	Compound
Compound::DB00153	Ergocalciferol	Compound
Compound::DB00154	Dihomo-gamma-linolenic acid	Compound
Compound::DB00155	L-Citrulline	Compound
Compound::DB00156	L-Threonine	Compound
Compound::DB00158	Folic Acid	Compound
Compound::DB00159	Icosapent	Compound
Compound::DB00160	L-Alanine	Compound
Compound::DB00161	L-Valine	Compound
Compound::DB00162	Vitamin A	Compound
Compound::DB00163	Vitamin E	Compound
Compound::DB00165	Pyridoxine	Compound
Compound::DB00166	Lipoic Acid	Compound
Compound::DB00167	L-Isoleucine	Compound
Compound::DB00168	Aspartame	Compound
Compound::DB00169	Cholecalciferol	Compound
Compound::DB00170	Menadione	Compound
Compound::DB00171	Adenosine triphosphate	Compound
Compound::DB00172	L-Proline	Compound
Compound::DB00173	Adenine	Compound
Compound::DB00174	L-Asparagine	Compound
Compound::DB00175	Pravastatin	Compound
Compound::DB00176	Fluvoxamine	Compound
Compound::DB00177	Valsartan	Compound
Compound::DB00178	Ramipril	Compound
Compound::DB00179	Masoprocol	Compound
Compound::DB00180	Flunisolide	Compound
Compound::DB00181	Baclofen	Compound
Compound::DB00182	Amphetamine	Compound
Compound::DB00183	Pentagastrin	Compound
Compound::DB00184	Nicotine	Compound
Compound::DB00185	Cevimeline	Compound
Compound::DB00186	Lorazepam	Compound
Compound::DB00187	Esmolol	Compound
Compound::DB00188	Bortezomib	Compound
Compound::DB00189	Ethchlorvynol	Compound
Compound::DB00190	Carbidopa	Compound
Compound::DB00191	Phentermine	Compound
